Date,1990_base,1990_cc_ideal_h5,1995_base,1995_cc_ideal_h5,2000_base,2000_cc_ideal_h5,2005_base,2005_cc_ideal_h5,2010_base,2010_cc_ideal_h5,2015_base,2015_cc_ideal_h5,2020_base,2020_cc_ideal_h5
2017-03-10,33150689.21482304,114794780.53504902,13940675.122213,20014629.944165535,14532538.248678558,26119442.69971384,4474988.023335361,7062386.716157477,3355319.7160118334,3550613.4681848665,1170358.7051611615,1179997.6762407485,,
2017-03-17,33327691.827791497,115430966.65075248,14014950.145951936,20128296.639485076,14699242.037220595,26398064.699950986,4478751.125430976,7083613.077460304,3368362.579702938,3573222.3166364008,1176006.7141291767,1190539.2432113634,,
2017-03-24,32862682.009195328,114486009.08862078,13840992.963419652,19962796.34128336,14543568.41607914,26233826.771216333,4420945.1137147695,7012947.63602154,3316416.5903321197,3522620.1994171403,1166523.0359274556,1183189.668278876,,
2017-03-31,32886627.20537241,115266301.72995625,13892442.95910818,20092390.510327604,14577051.752689635,26666249.900691424,4434048.141911167,7068145.73553766,3337020.401809231,3556626.166501398,1175107.5205333908,1195290.0437529932,,
2017-04-07,32807853.301443435,114942672.11437333,13871074.00998322,20063389.859975565,14237422.937977431,26317666.131394625,4380957.56444506,7039278.893322807,3311953.8020810583,3542318.7397529352,1170582.2027250782,1194255.2430625844,,
2017-04-14,32877214.320193723,115313812.97284411,13896558.06691158,20085361.85812004,14210716.05181782,26201487.178927626,4380654.188878052,7070082.312975705,3305788.8531990466,3538966.2946423795,1147227.2496397195,1174835.4144294157,,
2017-04-21,33060736.166809384,116188044.99880648,14061119.23429944,20331038.05134997,14473934.013368156,26733114.618097905,4452238.653887005,7241190.899376939,3345650.434721977,3585417.232312067,1171190.8485930138,1199798.1093291675,,
2017-04-28,33215488.49043948,116814094.452207,14179130.891256668,20450975.40766443,14302314.080747709,26973111.453094285,4487826.201232346,7334646.043873424,3416887.959136831,3665565.623308559,1200425.963638679,1225191.7184096354,,
2017-05-05,33099113.996058293,115717436.86569762,14229113.93741204,20534525.99015468,14420973.069546722,27170619.230391107,4497938.299879247,7381511.394779088,3426301.9449917623,3687574.5658819517,1222514.143581011,1249533.369223561,,
2017-05-12,33010777.609436665,115386087.12557533,14096726.829330169,20314204.897647038,14287783.08959238,27066100.6755355,4467227.4504682375,7377870.155072244,3427536.77245298,3699583.4190524872,1218986.1495637142,1250087.9661085028,,
2017-05-19,32832455.371837307,114716279.75540118,14106192.059109583,20335483.827045485,14114128.298529277,26767594.252224036,4452393.074185296,7416409.694601388,3413484.877519005,3689517.557490097,1221588.1079740252,1252475.3147431521,,
2017-05-26,33075472.322560057,115542798.10393669,14262423.406423803,20578866.168833047,14039203.060583198,26569618.138984837,4499806.562532002,7533161.377612963,3475562.99876298,3762257.74845768,1237044.2969463551,1271534.8516615564,,
2017-06-02,33432867.56321655,116138976.62046203,14417803.936978664,20744891.017377034,14188934.970126754,26956724.48930655,4549715.888918852,7611877.184323788,3515807.4054876366,3799849.513822177,1262011.9620420488,1293147.328155829,,
2017-06-09,33600131.9901068,116549544.56911995,14356852.317789417,20624802.17640918,13857600.997126874,26243636.198010463,4493018.1859582495,7545178.820753457,3454758.810812679,3740863.4908151748,1231229.1926851233,1267521.3597552045,,
2017-06-16,33829873.20732096,117184552.14001344,14449550.096179102,20754363.217161153,13643269.205632811,25534753.077529397,4516206.372633417,7610460.983866584,3451190.8883648543,3738839.106698755,1223038.5736643302,1262900.9208302049,,
2017-06-23,33585393.090872765,117404644.14831172,14490026.900799958,20719639.911948357,13257524.843797114,24849273.895605665,4427640.227428035,7530394.3053377615,3436574.862311151,3739491.715284953,1217014.9075450615,1260874.4663096278,,
2017-06-30,34221500.91459387,119128730.10480171,14590279.781563768,20788488.70129029,13378864.68533862,25350803.892749242,4463613.166084244,7579876.259364565,3435036.237572816,3731497.5367645007,1210662.2150355054,1256098.103155025,,
2017-07-07,33926479.4473238,118411236.61366102,14511895.693977278,20758669.53722075,12632725.508639775,24158189.707293622,4418488.507550948,7546072.206186718,3433380.850131741,3734249.676517031,1217925.5758840914,1266261.102735926,,
2017-07-14,34004326.97596508,119297802.14043543,14641489.71767892,20983890.45193858,12806092.812895626,24605486.914006356,4444341.355960967,7599010.227301716,3473710.9017141084,3787349.548207008,1235923.7663294843,1288242.9828527435,,
2017-07-21,33903659.28965134,119630496.41259666,14698367.553364951,21037110.818049155,12802781.342738356,24822251.03447264,4428272.956265044,7589315.568403521,3486240.2631173558,3803652.4934115843,1245576.585658361,1299278.0722115068,,
2017-07-28,34372264.34389805,121330577.73517366,14908279.878233995,21309986.767117757,12974989.377563767,25230202.519731168,4437398.726808836,7597457.874525449,3496811.583898143,3789059.725900299,1239200.774861947,1294153.1952382268,,
2017-08-04,34411344.375027984,121315120.04627389,15010756.55808912,21553891.531520795,13018441.51031928,25501838.604272757,4475526.115615518,7674784.54107544,3508926.979518958,3810943.948122532,1255362.4744149758,1312456.2443616544,,
2017-08-11,34188187.08409434,120404888.59401499,14912621.299272189,21479568.77437072,12860751.893884985,25409447.565121286,4470096.556650705,7691430.775257659,3505909.794548063,3813247.5250435625,1237575.3414794854,1298379.6109542525,,
2017-08-18,33286083.93018005,118860358.9465894,14620528.60818478,21070379.884312246,12752208.868165469,25355142.961048823,4468520.536268826,7685429.723828793,3467699.0729727093,3774210.37011891,1226515.8492554522,1290794.9990718442,,
2017-08-25,33314730.586382978,119498834.16821107,14693023.042882828,21150355.724351216,12950787.937612668,26076476.902619984,4492723.7098757895,7762497.024786228,3488973.816299559,3798915.076538901,1248951.177986535,1310801.4410359692,,
2017-09-01,33522553.45203181,120062331.4709664,14895448.30358372,21432752.614542954,13006885.02070654,26483940.561300512,4530837.399528486,7849808.2075311905,3531281.494283799,3853340.8402347695,1264103.2282069304,1329207.9424707466,,
2017-09-08,33774651.07039199,119578787.78219132,15020056.41117131,21639100.876021497,13104682.528911728,26876108.10615279,4567756.900582501,7886631.436277818,3543358.261007285,3861644.147917615,1274237.1116751845,1333718.5529087032,,
2017-09-15,34061266.00941866,120779893.02102822,15047880.494502028,21775055.99400802,13443753.001324022,27393658.873960342,4619153.983044606,7971929.353624082,3555692.20486396,3877753.7297588084,1291833.9551166291,1354151.0094684423,,
