Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
2014-01-24,23137070.171246435,115501064.14823806,79956951.3485356,256074701.87043735,8635414.53157168,14899987.901077867,12121775.393098956,33514097.954485998,8734761.251683429,21220779.138822746,16301017.028396498,26952238.332686428,2569634.057751784,4197227.771233874,3538336.951070138,4528563.280510541,2008387.7384740256,2134859.264587817,2041869.7242057628,2158298.2776042456,,,,,,,,
2014-01-31,22469161.31064224,112465213.89978331,77866143.09785986,250676697.6113939,8444491.67036873,14569969.04875069,11854528.28494571,32882368.336692728,8585735.766161857,20888672.688148357,16047717.967478555,26618933.098234218,2531331.755556031,4162840.4961917964,3508344.8729325524,4500059.691067383,1992614.2749289195,2123650.133656383,2030068.8815636684,2152774.038935471,,,,,,,,
2014-02-07,23286154.95845485,118362945.6331872,81908497.82880192,262490759.05810428,8606720.571912229,14845753.02757204,12081449.612851568,33750764.34342296,9030614.590142792,21459488.766342558,16502751.429189,27343029.29047653,2586189.830107439,4220666.949204756,3563297.6495647454,4560315.587518158,2029136.6294839887,2165894.5535918437,2070257.7605810938,2199654.729038517,,,,,,,,
2014-02-14,23741853.839878354,120585364.17499758,83427247.6607489,266290424.17553085,8844997.822937915,15236336.54943986,12385258.729085566,34413987.14179228,9196051.019766262,21794321.655558284,16746786.729919773,27773750.6301911,2638450.1070932406,4336992.182891087,3652165.441493591,4688363.991793915,2077659.6152181749,2213679.2814404466,2115239.320266467,2241696.125615787,,,,,,,,
2014-02-21,24009779.691318583,121866512.55523658,84306489.05274445,268976607.0969581,8941960.47463219,15367114.618523661,12485534.908088889,34508766.63166967,9199550.229926933,21830395.903651603,16754956.512381094,27786814.678555004,2636701.1295239995,4355048.22559886,3666759.7335034385,4720168.244163069,2079656.125217791,2219838.767716206,2121467.9650462843,2245604.2587011103,,,,,,,,
2014-02-28,24117604.86129796,121692928.26510727,84215093.23139161,269630313.6952215,9018096.848838467,15477203.350070843,12580161.910636012,34570371.81908437,9319858.72284638,22383526.001758978,17137572.37302159,28284786.757447563,2692772.7834234904,4419937.585075039,3724288.9800343555,4791402.924726858,2097355.698384368,2236038.96863545,2136695.152534751,2266813.3661362007,,,,,,,,
2014-03-07,24572033.067237604,124561478.94385645,86170825.50314945,274529511.49714863,9121868.350098742,15652595.6320764,12721202.724464588,34950832.15591547,9369427.076477624,22450328.08835744,17202778.069002923,28414689.43945715,2716537.7567690625,4463737.649250485,3760257.634845351,4836405.531920254,2121912.1535956515,2264060.814698365,2164000.0914016836,2288979.1478709495,,,,,,,,
2014-03-14,24401896.2211838,123601937.26708983,85491364.19023043,273373438.7022754,9038560.716136863,15562408.943685617,12638934.17844544,34875846.05228428,9312272.47592816,22352280.129992455,17117757.98131616,28321053.58276664,2693006.1277715624,4447136.415034816,3739532.1227739383,4818427.418792666,2108527.1558915307,2247506.215810611,2147813.602988748,2277801.6206936217,,,,,,,,
2014-03-21,24100085.23138753,122844320.95867565,84855631.9256586,274251746.38373977,9107678.919194927,15791514.206384415,12799478.533827018,35302406.69882297,9285905.186037475,22244436.361696314,17073903.95122829,28408650.104119476,2727501.126464741,4547282.531741969,3818349.3089502403,4934670.978976582,2123386.4773817933,2268865.5912299245,2168038.2676576735,2304854.307774335,,,,,,,,
2014-03-28,24288552.501277685,123374653.3438429,85193797.96755758,276045707.9920295,9215620.670381494,16005963.917686708,12972104.11401061,35669378.62276253,9211585.560742864,22154451.469790053,16998833.99032794,28403497.943114027,2728094.5322631258,4565023.428207762,3830012.5895451326,4957333.167426934,2117875.772432489,2261875.958304787,2162102.5702849217,2304466.4460920705,,,,,,,,
2014-04-04,23920434.12025974,121560103.27458863,83848061.36551914,273280153.8889177,9136170.603779672,15984003.56515534,12944811.721937345,35859329.13996184,9122384.809906868,22019414.78555791,16914267.07985183,28316264.396705326,2713739.724617452,4568533.59519191,3833302.6717881784,4969375.600438765,2098359.8059310066,2245093.576670218,2146274.7380271023,2295971.919798948,,,,,,,,
