Date,2000_defensive,spy_2000_defensive,2000_growth,spy_2000_growth,2005,spy_2005,2010,spy_2010,2015,spy_2015,2020,spy_2020
2001-07-20,1332070.4141215873,887767.3836673056,1522965.3062202206,887767.3836673056,,,,,,,,
2001-07-23,1332070.4141215873,887767.3836673056,1522965.3062202206,887767.3836673056,,,,,,,,
2001-07-27,1331362.5135893938,904438.5213679331,1520852.8001093024,904438.5213679331,,,,,,,,
2001-07-30,1331362.5135893938,904438.5213679331,1520852.8001093024,904438.5213679331,,,,,,,,
2001-08-03,1329229.9289866593,876924.1171991322,1511364.5263966862,876924.1171991322,,,,,,,,
2001-08-06,1329229.9289866593,876924.1171991322,1511364.5263966862,876924.1171991322,,,,,,,,
2001-08-10,1357544.1901050229,875227.658125445,1534681.154357734,875227.658125445,,,,,,,,
2001-08-13,1357544.1901050229,875227.658125445,1534681.154357734,875227.658125445,,,,,,,,
2001-08-17,1379369.7438804586,860105.5458646324,1521070.5474373908,860105.5458646324,,,,,,,,
2001-08-20,1379369.7438804586,860105.5458646324,1521070.5474373908,860105.5458646324,,,,,,,,
2001-08-24,1361820.9735625363,835910.4314157385,1509027.4556555625,835910.4314157385,,,,,,,,
2001-08-27,1361820.9735625363,835910.4314157385,1509027.4556555625,835910.4314157385,,,,,,,,
2001-08-31,1369140.3276943397,817100.3569608696,1493044.9548729546,817100.3569608696,,,,,,,,
2001-09-03,1369140.3276943397,817100.3569608696,1493044.9548729546,817100.3569608696,,,,,,,,
2001-09-07,1360647.446286987,811788.8570048433,1416432.3559223511,811788.8570048433,,,,,,,,
2001-09-10,1360647.446286987,811788.8570048433,1416432.3559223511,811788.8570048433,,,,,,,,
2001-09-14,1320946.2514020805,728139.2735181174,1312983.5049652362,728139.2735181174,,,,,,,,
2001-09-17,1320946.2514020805,728139.2735181174,1312983.5049652362,728139.2735181174,,,,,,,,
2001-09-21,1369677.1310114455,757230.3690304515,1389402.3255416455,757230.3690304515,,,,,,,,
2001-09-24,1369677.1310114455,757230.3690304515,1389402.3255416455,757230.3690304515,,,,,,,,
2001-09-28,1365509.2021009587,795509.991766521,1463123.0663390267,795509.991766521,,,,,,,,
2001-10-01,1365509.2021009587,795509.991766521,1463123.0663390267,795509.991766521,,,,,,,,
2001-10-05,1369123.8206721945,814465.0249501372,1493201.034126733,814465.0249501372,,,,,,,,
2001-10-08,1369123.8206721945,814465.0249501372,1493201.034126733,814465.0249501372,,,,,,,,
2001-10-12,1347127.807264356,795362.1161853049,1488329.9515708596,795362.1161853049,,,,,,,,
2001-10-15,1347127.807264356,795362.1161853049,1488329.9515708596,795362.1161853049,,,,,,,,
2001-10-19,1368917.6950481609,818685.2685249964,1510845.748975906,818685.2685249964,,,,,,,,
2001-10-22,1368917.6950481609,818685.2685249964,1510845.748975906,818685.2685249964,,,,,,,,
2001-10-26,1374495.8938055388,803432.9585767174,1475374.5764347014,803432.9585767174,,,,,,,,
2001-10-29,1374495.8938055388,803432.9585767174,1475374.5764347014,803432.9585767174,,,,,,,,
2001-11-02,1369035.9269384015,833715.6325172482,1506813.8701775295,833715.6325172482,,,,,,,,
2001-11-05,1369035.9269384015,833715.6325172482,1506813.8701775295,833715.6325172482,,,,,,,,
2001-11-09,1380340.483389466,850523.8622839043,1583696.9178890833,850523.8622839043,,,,,,,,
2001-11-12,1380340.483389466,850523.8622839043,1583696.9178890833,850523.8622839043,,,,,,,,
2001-11-16,1392649.5853167595,844377.9657428936,1568096.1069983656,844377.9657428936,,,,,,,,
2001-11-19,1392649.5853167595,844377.9657428936,1568096.1069983656,844377.9657428936,,,,,,,,
2001-11-23,1395064.20018028,850523.8622839043,1569494.857116727,850523.8622839043,,,,,,,,
2001-11-26,1395064.20018028,850523.8622839043,1569494.857116727,850523.8622839043,,,,,,,,
2001-11-30,1391457.191466196,868811.6433679393,1653763.7386403228,868811.6433679393,,,,,,,,
2001-12-03,1391457.191466196,868811.6433679393,1653763.7386403228,868811.6433679393,,,,,,,,
