Date,1990_none,1990_cc_always,1990_wheel,1995_none,1995_cc_always,1995_wheel,2000_none,2000_cc_always,2000_wheel,2005_none,2005_cc_always,2005_wheel,2010_none,2010_cc_always,2010_wheel,2015_none,2015_cc_always,2015_wheel,2020_none,2020_cc_always,2020_wheel
2017-01-20,33377561.421468947,1132268178.7316487,720143744.6526545,13578203.329555783,251819077.82731345,149853912.20925292,14361227.28776639,74037924.7754386,57378593.47790764,4256024.030283607,12810121.121752547,11389103.45379906,3234027.292786072,4444918.302514898,3212806.527295077,1113893.8249299945,1248133.492687785,1196220.1784725878,,,
2017-01-23,33363553.362809733,1131380078.0709157,719546146.8965666,13572345.663313882,251608064.54937902,149752087.8962228,14144529.163336793,73529476.97018403,56986988.88009401,4208637.136476995,12749130.635500593,11336493.902851947,3214649.8145248597,4428083.181769018,3200731.5312346243,1103846.7158774685,1237252.510560442,1185089.5503334315,,,
2017-01-24,33558256.02982819,1140180390.9953864,725161583.2696246,13682821.76746953,255101774.04113978,151824572.2843914,14255713.55558978,74225907.46682338,57516585.505335145,4235524.242544696,12840598.179882798,11417911.174339596,3230631.0805723183,4452577.710200978,3217330.087418239,1109302.9803900702,1242896.5120386346,1190322.7449201397,,,
2017-01-25,33677074.8638467,1144769272.828095,728083628.3069271,13721888.351914255,256098430.44085616,152415253.89406553,14259931.725942811,74458792.70727967,57702329.387248576,4251134.530939879,12890212.527879296,11460878.218025086,3251523.746203354,4473210.12063908,3231793.6902365205,1119678.1660835424,1252149.1708541452,1198320.895120266,,,
2017-01-26,33689711.40543302,1145827809.8651536,728755642.9526154,13748693.807417475,256025567.73099136,152390803.44629914,14149508.213279765,73735424.98715258,57141723.762109295,4238279.968441372,12890907.46676127,11462216.817406407,3243382.5050226436,4464992.319937826,3225417.7910128804,1109837.0315505404,1244697.3624712199,1191352.2188166683,,,
2017-01-27,33715704.92317511,1148861674.5518606,730697836.8120855,13787987.706417374,256973211.56548408,152941261.89762026,14051768.198974606,72920416.26145414,56511891.394111134,4245280.127552017,12898848.861965844,11471580.937442023,3242005.4832343734,4456404.190704031,3221616.080171145,1112534.2324020043,1245996.192115321,1191519.4389927476,,,
2017-01-30,33745357.273578145,1147891790.5963864,730075971.4970849,13753586.740755264,255525553.16021866,152083405.19479316,14033705.490333127,73359430.06612556,56851300.544745654,4235078.883266766,12865861.967709256,11442350.075723508,3224461.8127085827,4432362.934877284,3202814.1691370006,1109935.9353630024,1242768.5458019257,1188647.1903369757,,,
2017-01-31,33646957.97420979,1144951968.2508605,728201231.0327789,13696610.82525638,254132000.26505458,151266971.13411877,14119272.88722109,74310355.33821185,57584702.49789122,4249996.931334869,12878458.955761798,11450940.47555706,3233309.981510751,4436883.370372933,3205433.015853975,1109048.227241295,1242542.2168333426,1188075.406226431,,,
2017-02-01,33610005.2944714,1147507339.5837414,729827690.3882985,13649623.37832259,253346489.84259862,150820316.12512398,13966990.14276727,73841055.70643313,57228719.15642479,4237091.504993986,12881757.545043286,11453587.036959806,3233028.762346121,4425705.99925379,3195177.7902945867,1112167.1538917942,1244194.1826638519,1189761.9219462145,,,
2017-02-02,33602299.38844432,1146426072.9938076,729140021.0183072,13618795.52220503,253618405.8513185,150952925.66745418,14002297.495357849,73854327.34324126,57238013.99209058,4223977.892723321,12834051.824530842,11410641.682215659,3228393.590105963,4426758.447477726,3197617.6002713516,1104918.1926885098,1238009.337740398,1184864.4383664883,,,
