Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2021-05-21,71186930.47128284,431097137.0249474,31363566.64567754,71584273.71323577,28827684.759579755,93003130.28277637,9677959.517742686,25656930.618438087,8374569.056483127,10801690.301811151,2855622.3889868604,3473207.841197597,1540349.5246142312,1644840.3598255843
2021-05-28,72280315.02848274,440459596.24311364,31717440.13179041,72377379.48552597,28667671.700837925,91395818.13371502,9772874.31720362,25891613.82165902,8473634.0048849,10956388.575103125,2867423.207620136,3502024.458667254,1573617.9963630675,1682376.0919340674
2021-06-04,71922054.07387978,442571565.4581162,31663319.672787942,72240481.24652256,28170928.07433012,91446796.45213236,9573760.729428425,25593262.557749152,8403658.915939303,10912800.038208334,2874229.2142337686,3520074.9441948878,1573623.810295231,1688423.549317061
2021-06-11,71684022.82889366,442721228.59697527,31620526.370281417,72093167.09311655,28350423.187163092,92483698.36923315,9590147.812319594,25591694.671304617,8450328.284722019,10982881.199915078,2895839.752360898,3545007.524026312,1583848.900797799,1700315.8834280788
2021-06-18,69427055.01808444,428738871.94610435,30696367.29898496,70059941.79888155,27902474.95218448,90440421.25856426,9399883.971099699,24979201.92767589,8358329.87015281,10860252.14800545,2862983.295313332,3498026.599873518,1550758.2684896812,1668382.6564388378
2021-06-25,73357004.82707202,444383850.8879273,31944595.658391688,72258557.71161817,29323762.878494043,93617187.26546559,9791510.435764667,25949045.526161946,8695411.334958507,11262366.664796606,2927379.115114984,3597227.866161418,1604849.0119427426,1725698.2826250214
2021-07-02,74587043.08120047,447499428.98746663,32563109.33411074,73272712.34514374,30115054.653725367,95274875.27779184,9985151.080640199,26339300.814608507,8924228.872108778,11537287.784783555,2975984.798632995,3661219.5753588006,1619363.2164765594,1736899.1856129826
2021-07-09,75116988.27589609,450333633.6262159,32833995.552520636,73590217.52660562,30307041.943883654,95456334.19288972,9990765.586220957,26422571.505906954,8983368.487558227,11628773.86094857,2990610.1768371905,3680476.2329551233,1621569.436055699,1739014.3225277544
2021-07-16,74936523.04377383,451161764.408629,32907791.206772782,73805496.4343985,30333389.579745747,95329757.96713679,9937692.008585265,26429479.961428378,8993169.295205968,11669989.595628701,2988714.221167179,3685868.6217715777,1601274.0058668104,1717184.0436200541
2021-07-23,76380804.22282983,455051064.1132098,33223411.454543877,73914650.1008608,31101631.295586154,97877005.75871149,10104606.293442937,26800879.957379363,9188350.696017269,11941925.072267134,3069592.5021898085,3791948.693904963,1662791.846429337,1778127.498441109
2021-07-30,76394828.95802528,457299247.39415544,33047695.085363153,73706733.72417751,30939561.58361124,97698514.13570543,10105795.519047447,26806269.00077147,9224655.853709698,12002595.988582512,3106620.702278254,3832440.844372341,1666915.123583842,1788006.3095211259
2021-08-06,76830145.10114765,459990680.2316539,33346188.630913567,74365355.08622089,30780334.44686716,95915043.15872613,10113860.602036428,26857675.572622847,9267609.456666838,12069743.616482673,3115394.553994148,3851738.599784512,1686920.2550178664,1813447.890199269
2021-08-13,77370239.62417528,464872385.6691784,33446181.047106612,74409085.67847897,30909144.954048224,97126987.26037389,10221723.310909921,27127726.344903048,9386136.140108453,12248054.756064389,3110326.783187062,3869150.7770498013,1640478.6172576463,1771358.6846760267
