Date,Growth
2010-01-22,3322044.331918345
2010-01-29,3282519.360153078
2010-02-05,3355217.6881211796
2010-02-12,3442987.709268855
2010-02-19,3519750.073808908
2010-02-26,3558768.6480550184
2010-03-05,3631719.5022556027
2010-03-12,3696126.6884344397
2010-03-19,3714045.9780825847
2010-03-26,3729339.3576043667
2010-04-02,3779743.622155929
2010-04-09,3876241.312020248
2010-04-16,3970671.7004892575
2010-04-23,4005778.443788646
2010-04-30,3797676.4768260177
2010-05-07,3883267.761122621
2010-05-14,3729185.9739596895
2010-05-21,3872020.893571623
2010-05-28,3924321.894516891
2010-06-04,3855255.269716119
2010-06-11,3921920.4776216615
2010-06-18,3778103.2088896492
2010-06-25,3689364.762035275
2010-07-02,3708785.5382070416
2010-07-09,3806743.254676668
2010-07-16,3770028.497294111
2010-07-23,3770151.1833393853
2010-07-30,3753349.332851785
2010-08-06,3675446.4891724507
2010-08-13,3685504.481523611
2010-08-20,3638688.2528501265
2010-08-27,3788749.3945849934
2010-09-03,3802737.8936625454
2010-09-10,3908475.6290971977
2010-09-17,3951245.874286942
2010-09-24,4007513.541365983
2010-10-01,4065518.7570617534
2010-10-08,4087380.3311489243
2010-10-15,4121292.7097225995
2010-10-22,4166260.3920373404
2010-10-29,4289555.002099921
2010-11-05,4341981.0154572325
2010-11-12,4307109.461545011
2010-11-19,4417638.219026128
2010-11-26,4465600.257357416
2010-12-03,4496877.815495056
2010-12-10,4541271.588697261
2010-12-17,4527410.599550604
2010-12-24,4544930.328159624
2010-12-31,4401418.997725316
2011-01-07,4430600.854326317
2011-01-14,4473247.444459655
2011-01-21,4523176.843732985
2011-01-28,4496935.765986269
2011-02-04,4605771.810657533
2011-02-11,4603448.950748825
2011-02-18,4554799.866991727
2011-02-25,4704833.105233488
2011-03-04,4693346.860830286
2011-03-11,4615867.114187899
2011-03-18,4706635.665758446
2011-03-25,4703161.526691068
2011-04-01,4731317.801484718
2011-04-08,4733326.198258014
2011-04-15,4804211.151679835
2011-04-22,4882293.208624445
2011-04-29,4924539.455416564
2011-05-06,5055605.6970972195
2011-05-13,4986672.233387525
2011-05-20,5022665.816440376
2011-05-27,4924047.916059558
2011-06-03,4870106.710787789
2011-06-10,4825789.994765942
2011-06-17,4967390.222762777
2011-06-24,5068522.393627911
2011-07-01,5200970.531337001
2011-07-08,5087682.075839205
2011-07-15,5096532.723810383
2011-07-22,4914845.029498686
2011-07-29,4630080.36793472
2011-08-05,4672248.375825369
2011-08-12,4645693.362609096
2011-08-19,4772806.585305826
2011-08-26,4957314.389167883
2011-09-02,4966052.942729376
2011-09-09,5138421.326869799
2011-09-16,4983661.355200872
2011-09-23,5038665.833678988
2011-09-30,5083056.075893191
2011-10-07,5226225.824062808
2011-10-14,5274745.613373328
2011-10-21,5484085.555894668
2011-10-28,5448785.584215029
2011-11-04,5435692.883332591
2011-11-11,5380015.580623633
2011-11-18,5252995.198912107
2011-11-25,5563506.17031292
2011-12-02,5546121.322477673
2011-12-09,5536128.295003555
2011-12-16,5660534.893672398
2011-12-23,5730968.616873174
2011-12-30,5788606.668192501
2012-01-06,5875157.88945075
2012-01-13,5988258.758535882
2012-01-20,5987195.088219385
2012-01-27,5991233.969312893
2012-02-03,6094110.083142896
2012-02-10,6103372.492536701
2012-02-17,6179479.991336333
2012-02-24,6324241.374652744
2012-03-02,6402095.431465285
2012-03-09,6502468.979722111
2012-03-16,6543937.321459834
2012-03-23,6568949.193201451
2012-03-30,6689216.878516114
2012-04-06,6678262.700690085
2012-04-13,6724169.9098428385
2012-04-20,6897907.508067552
2012-04-27,6993237.738297401
2012-05-04,6851464.440483881
2012-05-11,6576633.12690071
2012-05-18,6713311.879769155
2012-05-25,6775134.92459782
2012-06-01,6768934.726205465
2012-06-08,6824570.477544644
2012-06-15,6814649.437071689
2012-06-22,6478364.041556623
2012-06-29,6747654.533091653
2012-07-06,6801763.88803386
2012-07-13,6912313.523567276
2012-07-20,6749740.315939473
2012-07-27,6616716.184795931
2012-08-03,6658354.483753386
2012-08-10,6734470.703780118
2012-08-17,6762577.925773122
2012-08-24,6764253.453821716
2012-08-31,6832272.613576934
2012-09-07,6805378.7685280265
2012-09-14,6800791.193261495
2012-09-21,6746334.675356608
2012-09-28,6798600.330376527
2012-10-05,6609652.776050356
2012-10-12,6554033.3797959825
2012-10-19,6444559.982997876
2012-10-26,6510872.603424842
2012-11-02,6430053.625055151
2012-11-09,6398550.410533378
2012-11-16,6604121.4728552215
2012-11-23,6715956.084355653
2012-11-30,6604688.286301294
2012-12-07,6544419.4560519345
2012-12-14,6585255.235683707
2012-12-21,6514258.053666513
2012-12-28,6762229.759248738
2013-01-04,6695930.863825723
2013-01-11,6783294.448275843
2013-01-18,6947698.937060691
2013-01-25,6966220.303288447
2013-02-01,7101588.923884119
2013-02-08,7133398.541446317
2013-02-15,7048680.522506653
2013-02-22,7148629.293140695
2013-03-01,7170641.493536533
2013-03-08,7234089.242303478
2013-03-15,7278796.724214047
2013-03-22,7438883.438153588
2013-03-29,7461933.773390313
2013-04-05,7580855.789485377
2013-04-12,7336178.366863433
2013-04-19,7635344.368032883
2013-04-26,7705224.71030716
2013-05-03,7839028.9209677605
2013-05-10,7897458.059359265
2013-05-17,7877207.171872696
2013-05-24,7832917.298254324
2013-05-31,7739716.492802984
2013-06-07,7893693.943109812
2013-06-14,7721089.937373002
2013-06-21,7862819.625717649
2013-06-28,7960813.371806893
2013-07-05,8236667.898552986
2013-07-12,8207384.298637831
2013-07-19,8254462.393111724
2013-07-26,8504928.037362617
2013-08-02,8322204.026852714
2013-08-09,8091734.704066873
2013-08-16,8262414.7093720585
2013-08-23,8169845.516240718
2013-08-30,8235555.258684186
2013-09-06,8391897.230923649
2013-09-13,8606404.59982843
2013-09-20,8551157.316204883
2013-09-27,8521159.0336692
2013-10-04,8561553.105678253
2013-10-11,8816670.00005059
2013-10-18,8819579.896324158
2013-10-25,8914157.33491021
2013-11-01,8891038.596466545
2013-11-08,9201089.25209917
2013-11-15,9175568.881496765
2013-11-22,9089071.25430598
2013-11-29,8898157.19846704
2013-12-06,8878897.886639839
2013-12-13,9079085.03919504
2013-12-20,9191860.591159085
2013-12-27,9137716.108569838
