Date,1990_all,1995_all,2000_all,2005_all,2010_all,2015_all,2020_all
2025-10-10,291304444.34419584,75568896.15198338,80377661.6884635,19273449.646502227,12840334.797764927,5475741.371648561,3407277.7639836553
2025-10-17,302349022.35775304,77447488.90708204,81834574.24350055,19815924.68290552,13293036.10705076,5651155.3111054655,3385079.391133783
2025-10-24,304694093.9898185,78373697.9893335,80030142.49628495,19906740.52233846,13449701.546036726,5761689.495895733,3513841.2872274723
2025-10-31,302863088.0671858,75941035.5117222,78232950.77462946,19212365.60217841,13162157.557429047,5766426.109068758,3534136.9717731224
2025-11-07,300841736.75403386,74722950.47506918,79155957.88657008,19266621.000673685,13149340.326505596,5773535.544965477,3395870.3244107533
2025-11-14,293645950.50014025,72772376.96199311,81353693.79384315,19284782.85667129,13273198.96701589,5693592.989089749,3295486.8704035403
2025-11-21,295712901.05427283,72027388.67819759,82997931.39774169,19219786.935413506,13333130.731367627,5718700.024852948,3219378.3621302466
2025-11-28,301860952.74025905,75636053.47086893,83690240.09729841,19682459.418245208,13666106.835442524,5853328.430371905,3399416.329764042
2025-12-05,306781189.1433991,76441584.81227526,81371824.97863834,19636475.618101403,13629098.81108117,5947033.566574083,3449781.2004346526
2025-12-12,318453428.07305676,76570477.56947866,78889172.37278987,20026010.090485603,13749391.499674488,5974595.333501023,3435921.3146397914
2025-12-19,316304232.0891525,75608399.90552533,79019078.70581746,19838458.56300791,13652451.560803803,6034036.914385175,3480727.4963546214
2025-12-26,315776368.3541306,75986396.0681096,80248540.083471,19987960.35188933,13861190.629368506,6093439.836840412,3528375.5563416015
2026-01-02,315186042.9068453,77540803.09264627,79103809.43386878,20084534.131617267,13885950.887630679,6055157.289123934,3568339.897163964
2026-01-09,319552696.40277255,79561234.16078725,80506918.95974846,20487820.932536386,14045248.01395156,6142125.629999481,3573573.9221613966
2026-01-16,324348151.5003505,79188906.9341563,82521481.79968387,20688391.28062595,13931296.32723536,6098862.730405935,3645010.3697359986
2026-01-23,323231539.3426781,79605064.49628948,85214417.07855749,20804517.419117074,13959770.786869306,6096690.591158678,3710733.86426086
2026-01-30,321031565.288028,76882122.02538261,85433575.23039716,20125359.466106582,13885107.782445908,6077229.279267993,3700169.4860873823
2026-02-06,323762511.31352067,76812932.97521022,85171367.61424547,20154189.63015357,13665380.033276683,6060954.229164613,3732400.552010597
2026-02-13,322035567.31425476,76393878.44655411,87274440.42505811,20289306.305699605,13431572.621682385,5965798.6958044,3793302.461278776
2026-02-20,319069731.30096567,74678900.23008816,86359956.67745346,20381996.8777951,13643354.67544973,6081571.925240823,3766767.694210776
2026-02-27,319431947.73753756,75589178.9849797,87025045.29792966,20351696.100230996,13637171.354795659,6126625.752368547,3788571.973009871
2026-03-06,311343653.4758576,75135089.92202951,85235814.69966604,19991186.15963051,13549761.080897825,5950622.636452005,3715635.3478503437
2026-03-13,301891326.45317835,75188913.0869699,82778606.36535008,19672122.931327824,13360083.553709397,5779383.417195806,3719071.501256466
2026-03-20,296418147.32583773,72609441.41261435,78704529.39367771,19243031.5264737,13145144.353817064,5865090.859581618,3770066.641125708
2026-03-27,293557987.8986724,70550976.61470936,79083888.9531761,19336850.87560345,12746433.371379789,5659068.351035687,3486639.238458924
2026-04-03,300788380.60112715,74609724.8730783,81766238.9529083,19768153.344561335,13224235.905169144,5942433.633584841,3743915.4577374253
2026-04-10,310843195.4150031,75877251.51240316,82597716.27578124,20328710.77368303,13592362.879388854,6030608.649376862,3918786.7362976777
2026-04-17,315552978.46215194,79704565.11852308,83819455.69391349,20624767.155759346,14023557.95423939,6174771.28990948,4008218.9815857126
2026-04-24,306916168.1985327,80458868.6332583,82400593.84135373,20611672.52921569,13916369.745862693,6163897.6497848295,4097048.5520604006
2026-05-01,304214865.4236054,80085090.96313207,81670282.65051171,20905262.424593706,13898647.76507472,6024144.519978439,3999574.5861396096
