Date,1990_dow_ds1,1990_dow_hammer,1990_claude_ds1,1990_claude_hammer,2000_dow_ds1,2000_dow_hammer,2000_claude_ds1,2000_claude_hammer,2015_dow_ds1,2015_dow_hammer,2015_claude_ds1,2015_claude_hammer
2021-09-17,41133043.556243114,30568379.067919567,31138575.55319477,12168699.909846272,9419835.10826053,1199980.69926481,8524497.901818762,1627949.0540844186,349047.61710643524,401698.30834428954,320128.8154765828,269202.99188125436
2021-09-20,41035501.54849851,30508384.531352222,31073582.7606549,12117139.543278048,9369223.725362629,1191810.539862435,8491051.218444597,1618611.9278120873,348211.8987903064,399449.7451590535,319026.98558015225,268199.6043248751
2021-09-21,40924858.90995019,30625240.024852216,31009306.292354405,12109783.32142498,9354659.898200287,1185828.2429218884,8484991.131191844,1619180.1523050559,347795.55753477337,400257.88980522053,318666.3332034565,268765.5175628084
2021-09-22,41042093.77315417,30762558.53665778,31097628.512798302,12113171.732391829,9347718.597833825,1182203.8113890535,8485682.734858481,1621098.3809839392,349298.80354576366,401139.2565519342,319259.3281625782,269511.2381198498
2021-09-23,41239499.76587399,30657413.461888786,31247226.966644775,12062286.051760914,9330425.312748477,1172206.8488601206,8480670.058724761,1619625.280894886,349463.5996901518,399992.305064078,319016.53863518324,268826.1877710281
2021-09-24,41309435.19018061,30622930.5949297,31297906.927942045,12006254.3945094,9298023.38900369,1168548.7230504486,8465963.714662695,1614890.7146006736,349000.52112037584,398179.65169424907,318553.0091182945,267911.6992023727
2021-09-27,41357603.76345024,30796167.18600516,31332777.101539206,11983638.821632164,9336996.266974468,1177088.860066407,8514121.891261622,1604628.9498125277,348636.31479580345,395918.413866205,318295.7044077796,266135.17175957834
2021-09-28,41268625.59147055,30813879.171359204,31306473.706722457,12018056.110506516,9328811.855695475,1189693.785189027,8518998.494816132,1603009.6993456436,346095.9694714962,395620.8075097533,316702.56706049416,266118.86375570315
2021-09-29,41501617.93892108,30723706.705040645,31516936.399140634,12073178.246434562,9400316.424459659,1192793.7871479027,8581628.211348364,1613532.266546547,345536.7381687992,395008.6396589253,316672.42667645187,266362.48624052387
2021-09-30,41334278.812615246,30396376.70327391,31402469.631773643,12000835.83798404,9289040.182696924,1179417.3482278206,8481249.200802207,1597287.2175567772,343338.34304238757,394205.28142108704,314719.896040907,264091.7204376765
2021-10-01,42049841.54004941,30874375.08043845,31962081.3388705,11965212.658434317,9302183.337732065,1178445.9070587258,8495702.18569084,1592493.26987067,342685.9426668482,391002.4477477439,314476.554325554,265256.56464086106
2021-10-04,42139688.09082264,30925018.97979591,32030425.93100195,11961905.28583638,9298027.884895252,1178799.653506426,8493705.796679448,1588110.1728468242,340449.7504460993,385541.09741082485,312365.7857523754,265149.2123062061
2021-10-05,42075367.96843679,30961973.75352806,31968943.091912817,11946995.565057706,9282482.698859591,1168403.7946293082,8478410.705644742,1587842.3129198628,340790.1875099824,386985.3388364433,312721.8543863962,264634.0297869089
2021-10-06,42044586.73356202,30849406.47227492,31921594.047649644,12016112.701981438,9261313.267963003,1165486.419098617,8473113.110871235,1601310.531928608,341167.1173333075,387419.97306219005,313437.0829577591,265334.36015135096
2021-10-07,42311441.73965302,30798594.426187053,32137914.510474455,12025457.8359501,9285267.577563623,1161411.961445349,8495548.75772822,1607138.4016758453,340723.097965521,386684.574621226,313065.0186373572,264428.0580238026
2021-10-08,42161149.632779494,30771901.05113261,31986127.243284952,11969840.195663424,9267396.756929252,1156947.5253816943,8479037.278203793,1602615.363072344,339219.6690829147,384085.51562056964,312035.34993545205,263376.4961975649
2021-10-11,42482356.36567272,31033676.55583918,32200776.824288037,12131407.566286441,9327612.910208806,1170769.02015026,8542965.176557045,1615968.3015460698,339405.9563225201,386018.6782273804,312292.46292822825,263908.21544406196
2021-10-12,42030155.23441996,30824164.095947187,31807452.48403745,11999302.098071013,9273668.439301113,1148577.3725380427,8479658.398706375,1607404.0044082743,337884.94644441165,385999.58442398737,310940.82441626483,263279.5914408613
2021-10-13,41841602.56906829,30304157.387423877,31659188.56752856,11978128.310404817,9283433.051401293,1149051.37484894,8465564.118185664,1607807.3853723765,337925.00348684477,384709.49804685474,311058.6386129192,262907.1066184111
2021-10-14,41809270.71962477,30297104.670180473,31649599.744959567,11974986.347071951,9324294.198011868,1144887.369758139,8500002.877177741,1617838.591587,340400.08308402146,384985.5980881718,312607.7538307588,264032.8817665986
2021-10-15,41866911.70844079,30616285.798282683,31693785.261667855,11981587.016320402,9341952.593830977,1145998.4440412538,8510409.81361285,1620725.1418402032,341298.21303344955,385090.16431840823,313052.4726643414,263754.062879871
