Date,1990,1995,2000,2005,2010,2015,2020
2011-05-13,66200933.52328013,10005608.23790461,11579996.29304413,2425582.9341592235,1281853.9274917687,,
2011-05-20,66699360.105080925,9880756.694674127,11592075.382196913,2412545.929478084,1275420.3446084412,,
2011-05-27,67053736.70031583,9807493.002023503,11797876.184951855,2417110.1092164586,1282337.8812561093,,
2011-06-03,64919578.59877288,9594314.847007306,11502435.354468295,2379197.0001649186,1258850.0629332,,
2011-06-10,64410031.4779377,9526928.460776376,11475916.14714964,2361897.9867300177,1250560.8746791251,,
2011-06-17,65140986.28964321,9672556.692073593,11664934.630918426,2390425.344416089,1254473.9866192713,,
2011-06-24,65391685.82653159,9674604.586842827,11865256.81440821,2407149.5500032227,1255082.7171400238,,
2011-07-01,67991716.57701397,10109268.960976262,12368336.296601538,2493741.9104259824,1318824.554257597,,
2011-07-08,67865818.48135088,10107519.925971156,12487226.959168708,2476646.3399079475,1316835.1293635592,,
2011-07-15,67102588.81603667,9992885.560483476,12347983.921792377,2458522.758783721,1319079.5651622645,,
2011-07-22,68292386.64392968,10148591.593771603,12389588.267067334,2479587.2178035923,1336381.9991358658,,
2011-07-29,65908698.52757896,9765128.010230564,11959828.080084644,2367747.1647720444,1298804.7421117043,,
2011-08-05,59151919.33465842,8864497.375976289,11240341.638627976,2160764.146835149,1204066.4176888694,,
2011-08-12,61379202.405331284,9186491.105895443,11787855.919040216,2217991.0779935326,1241672.4771288743,,
2011-08-19,59960089.77130618,8836111.686865456,11512801.313029325,2156433.4314234178,1177604.4655301804,,
2011-08-26,63040354.017373115,9301758.76597666,12215522.144415664,2258471.21575049,1246392.9578287832,,
2011-09-02,62601315.32130364,9185268.1400603,12217690.849363085,2238424.7408694928,1231205.8296331486,,
2011-09-09,61561759.17615046,9203016.538762037,12160673.447112422,2245195.107805447,1230161.2911767475,,
2011-09-16,63635669.539510176,9729407.880204022,12752130.192768537,2348104.9390696175,1285705.7987953285,,
2011-09-23,62388543.98359321,9635681.994725745,12649447.775375387,2299454.4704786832,1250879.3212093392,,
2011-09-30,59293989.17279042,9072898.569812946,12376191.61088832,2190278.394211832,1206152.557776698,,
2011-10-07,63259862.38630065,9725075.605983827,12877536.324553031,2316364.088327275,1267668.5134260089,,
2011-10-14,63696196.5156721,9863395.102697965,13196159.602804175,2361178.4720774125,1299711.935242973,,
2011-10-21,67063609.730645634,10274488.762016652,13318753.717357414,2432620.549961352,1330748.974070485,,
2011-10-28,67463511.21357346,10306560.546034245,13301092.099074181,2426932.078792611,1340530.9754478303,,
2011-11-04,68089486.70275503,10239761.684332343,13376677.280310495,2414305.9499179814,1339962.771939945,,
2011-11-11,68108192.88064405,10358627.389987504,13467044.311608981,2455308.3387175775,1352352.5681607628,,
2011-11-18,65880747.90232256,10008869.459471485,13073207.183588315,2377353.090469419,1311147.9699720745,,
2011-11-25,66523913.0184606,10041359.082583098,13136031.700824147,2373862.559827802,1303623.0423966693,,
2011-12-02,69758764.64123774,10568435.450962236,13712441.673866116,2503497.6632885374,1365057.3232552705,,
2011-12-09,69561804.83629635,10497426.76850251,13811379.103475532,2508522.175724027,1363669.101549423,,
2011-12-16,68231412.2643192,10332559.598893063,13761891.351117184,2506930.6085474053,1351280.9929052263,,
2011-12-23,70863346.96784104,10627872.431050725,13972526.809421044,2577564.4964566417,1392581.4991652817,,
2011-12-30,70642505.19652952,10582172.816796618,13943257.924664494,2578257.7913355595,1394144.7483035345,,
2012-01-06,72266045.95953366,10891225.863754442,14032131.107688889,2631121.4203967284,1420258.2813989774,,
2012-01-13,72497043.49367127,10909236.261746468,14119691.6087966,2648294.107069587,1421895.9580012788,,
2012-01-20,73325470.7609156,11197000.739972096,14335547.71112231,2678718.2328402586,1430554.063903899,,
2012-01-27,72708031.98711252,11087229.385938955,14410457.817434821,2682861.823481709,1439327.477566487,,
2012-02-03,74814197.70673671,11269632.320346752,14550903.817587094,2726881.6354425983,1456747.9657660099,,
2012-02-10,75746880.82572372,11401523.637138119,14698752.076605327,2755469.3264721856,1466622.904463741,,
2012-02-17,76213458.74772722,11556722.289024655,14916733.350357823,2783431.297771771,1476571.0758608459,,
2012-02-24,76661746.25791013,11558118.01372045,14876230.084606202,2804633.614284219,1491240.4576364493,,
2012-03-02,76933881.81924509,11572537.13096718,15143432.766989883,2808120.93555818,1495746.7730834163,,
2012-03-09,76668397.86845581,11639583.907889066,15458585.180079209,2841958.444724551,1500783.180745347,,
2012-03-16,78883109.60540028,11831959.64058997,15523734.514810998,2886984.289175191,1533716.5140179382,,
2012-03-23,79743582.91531205,11846206.397509575,15713551.47306579,2896785.9433946386,1536698.8226655263,,
2012-03-30,79706227.46161737,12029460.833797488,15730467.571444415,2954091.245679122,1555493.3132614787,,
2012-04-06,78561109.71424821,11879802.042409036,15878626.359215181,2930768.143877919,1544293.53975305,,
2012-04-13,78472976.26000413,11889690.81396189,15898504.53948203,2919757.1890744534,1524479.0833087289,,
2012-04-20,78226571.03820768,11843986.493471289,16123250.02277221,2932855.3675460108,1514706.7121078195,,
2012-04-27,80023163.61490068,11914928.725788916,16447470.14858061,2931885.703740866,1537298.6672928063,,
2012-05-04,79868732.26194173,11771553.831493553,16382290.684033873,2897240.675826883,1516845.6944609988,,
2012-05-11,78539273.13651595,11493766.149265623,16374327.646381967,2885791.9694884047,1505243.6228918587,,
2012-05-18,77493413.46948546,11315889.273787776,15494605.858091969,2831796.564101206,1487089.0936456022,,
2012-05-25,77914005.02862358,11390012.074799025,16162354.253311347,2883307.383239478,1502445.4406861153,,
2012-06-01,75851698.77893615,11126306.62797348,15858398.01081902,2842687.8422075463,1467137.8290799537,,
2012-06-08,77475974.5875634,11441454.648314774,16563366.070614882,2937904.9577166834,1501523.8618795327,,
2012-06-15,78551190.40660468,11722362.194189282,16892736.547072094,2986629.120128286,1519284.574413319,,
2012-06-22,78146875.095716,11543182.721466117,16767096.314434087,2974164.945577182,1506017.2429180683,,
2012-06-29,80018555.61032443,11703131.401482722,16492837.969411993,2966821.4246744844,1509753.3062596992,,
2012-07-06,79852153.84309137,11642127.716066886,16620037.090152038,2996356.414479485,1526253.3032804516,,
2012-07-13,80212121.90775324,11544775.41646053,16567497.630730214,2982037.3672375586,1528572.4910562052,,
2012-07-20,79541125.82172665,11564452.848217858,16342335.303663101,2978019.5548900054,1535365.7025188247,,
2012-07-27,81781353.74883129,11727718.24324332,16463345.903279917,2997196.7120687915,1557318.7111956389,,
2012-08-03,81556572.21621175,11732222.956822326,16164040.418718027,2966153.1375085018,1562709.2933720704,,
2012-08-10,81150984.71251649,11801532.131679058,16121844.852927122,2994623.4099004865,1568753.439543765,,
2012-08-17,82165316.10486493,11902754.712784993,16060426.272369826,3055735.074397529,1602294.3053500487,,
2012-08-24,82178342.39475271,11803386.585154893,16176280.520939652,3069094.4545199713,1606667.7919656346,,
2012-08-31,82473545.2184509,11804615.433037676,16058171.081310086,3065713.749986516,1604064.1158423717,,
2012-09-07,83450972.45339909,11722486.564819701,16069986.984234797,3080060.3054247536,1619853.8938262716,,
2012-09-14,84490273.87501672,11837745.221764795,15924830.13226166,3123705.801056967,1643629.7070218816,,
2012-09-21,84436879.87518845,11832939.947758177,16211815.187302828,3113488.2984592416,1637325.5834358588,,
2012-09-28,84237487.61527693,11848217.206191411,16183911.395217529,3111774.8188458555,1630066.0642779788,,
2012-10-05,85121083.38068542,11922971.683123345,16307288.342957472,3150082.7250206824,1645330.8416005825,,
2012-10-12,84412543.1691527,11822430.690316,15273149.787079923,3077904.302490898,1614232.3386102337,,
2012-10-19,83440614.85229813,11647699.564103542,14987041.27839843,3061845.072095934,1586593.714613345,,
2012-10-26,81678957.09574828,11546031.685971798,15008533.932840781,3021971.8989309636,1564144.3386171937,,
2012-11-02,82641884.14834769,11651031.699305793,15157137.50981862,3017729.9868323714,1564991.0285502835,,
2012-11-09,80407573.20364965,11251489.314740093,14828020.214133916,2942988.6125024725,1531726.0513949979,,
2012-11-16,80658375.74557275,11210153.398602538,15101500.068172952,2967617.255521847,1535273.3753228988,,
2012-11-23,81699578.15517193,11299631.881851599,15713405.9209051,3027832.735776627,1568116.4385156946,,
2012-11-30,82340831.96804892,11340758.245732568,15778870.664046464,3050207.2773789642,1581833.8860529438,,
2012-12-07,83334379.51894811,11452904.299390662,15435359.786538508,3053699.2103223735,1577504.1886778437,,
2012-12-14,83514477.99290542,11515303.821445832,15292900.40950659,3036123.6905696867,1575223.3699210798,,
2012-12-21,84041445.51923327,11634733.917964136,15483561.900873248,3047875.4660373554,1592986.5366349556,,
2012-12-28,83929825.07392366,11576628.239536729,15373816.536156928,3033569.5791445277,1583760.400081156,,
2013-01-04,86372591.33739051,11771356.823586283,15709103.270216014,3087151.850578376,1629924.4815390194,,
2013-01-11,87058534.18580705,11937729.716141313,15527582.774821287,3126169.7789945877,1638658.1119733874,,
2013-01-18,87939167.63078743,11998027.46705275,15769279.17266671,3174248.2341984264,1651041.4807626791,,
2013-01-25,89194187.32480353,12114727.83015904,16280587.960830253,3208662.7280432805,1667081.7209991754,,
2013-02-01,89233263.69376236,12147958.15341853,16195010.787849888,3220757.119053022,1673700.7355004344,,
2013-02-08,90939407.42590845,12255587.907408921,16523863.651327195,3263716.487262623,1704288.3261037746,,
2013-02-15,91618142.61703955,12320575.797828184,16540347.596170027,3270457.359696664,1708759.6825698046,,
2013-02-22,90608308.4471794,12029027.719677553,16508206.780025456,3174196.389748127,1685224.3747510444,,
2013-03-01,92568422.61392787,12324767.783127833,17238796.004371673,3227384.463807601,1706835.656675401,,
2013-03-08,95039266.90672931,12539631.724200055,17289067.973462813,3260564.9640309154,1728094.733754578,,
2013-03-15,94464533.13655806,12485621.380321313,17203657.036108375,3272964.1175458278,1727765.3976542822,,
2013-03-22,94360244.57051958,12416765.819857022,17495222.038449768,3293686.0344066285,1741969.457764085,,
2013-03-29,95189059.43481417,12628144.50192901,17747948.167592455,3349230.6663250546,1751851.446693723,,
2013-04-05,96424940.87492368,12777735.29378292,17682579.124027997,3359263.073800545,1756824.035697854,,
2013-04-12,96198606.09043875,12878216.617224215,17842335.7532523,3389912.9245324344,1764570.9924823719,,
2013-04-19,98583367.06966631,13076108.842250641,17687516.710115593,3331387.4496045383,1756236.7475629998,,
2013-04-26,100202226.63818492,13321326.121429678,18077478.644151136,3389543.8615958593,1784777.805018225,,
2013-05-03,102330648.65156023,13500768.523566334,18422267.42070848,3447878.782156429,1824897.051865073,,
2013-05-10,103468744.2195903,13667527.827407492,18632202.866156176,3517875.37683479,1851703.3215534424,,
2013-05-17,105104344.8605372,13809524.723222565,18790355.25810911,3569187.0911764633,1880163.1732870461,,
2013-05-24,104712009.07217988,13740583.454178149,18839935.157772347,3560013.920173196,1856331.1655572064,,
2013-05-31,104279114.78829014,13881004.838615239,18513816.535086386,3560648.6649887394,1855322.6669850384,,
2013-06-07,105341358.6744684,13937603.261977136,18860970.183987807,3595698.413907452,1861045.251148961,,
2013-06-14,103961486.50154142,13916138.294596763,18909998.621504415,3632117.9652797617,1860541.7522495883,,
2013-06-21,101680753.8538607,13546033.306394808,18734527.14719778,3609215.691188171,1828865.058325364,,
2013-06-28,104621602.82231867,13833751.941107694,19232164.208420996,3687664.4513913677,1863871.890138515,,
2013-07-05,106144065.50951087,13939544.8566638,19801814.714969844,3763163.3543784986,1890079.257991916,,
2013-07-12,107628090.16768005,14165952.437326092,20118712.657496903,3816832.302828389,1927006.2881997477,,
