Date,Defensive
2008-09-05,2467198.606534819
2008-09-12,2445391.4562541726
2008-09-19,2387573.2907606373
2008-09-26,2388323.8426301456
2008-10-03,2045856.4664163017
2008-10-10,2101084.1167418156
2008-10-17,2037250.5728814295
2008-10-24,2105734.032391588
2008-10-31,2055830.8845840232
2008-11-07,2113130.3981606006
2008-11-14,1907309.371037156
2008-11-21,2015891.826739262
2008-11-28,1994259.3809195184
2008-12-05,1995434.5175909577
2008-12-12,2059256.590354444
2008-12-19,2041918.8549670018
2008-12-26,2090206.198131593
2009-01-02,2064615.0983390906
2009-01-09,2000584.8672350803
2009-01-16,2023028.6442759456
2009-01-23,2056949.8087597487
2009-01-30,2040440.7037876083
2009-02-06,2024539.7040500587
2009-02-13,1979633.0200314152
2009-02-20,1868765.096660908
2009-02-27,1739259.6501125232
2009-03-06,1808136.8582366544
2009-03-13,1840676.5763561826
2009-03-20,1924567.5763498133
2009-03-27,1942581.4958892378
2009-04-03,1935644.0129381502
2009-04-10,1939082.8277203671
2009-04-17,1910762.1261679681
2009-04-24,1907572.0043361995
2009-05-01,1935833.7702546385
2009-05-08,1977403.4951352275
2009-05-15,2002370.6361866456
2009-05-22,2023276.8015755247
2009-05-29,2089979.6016591082
2009-06-05,2078672.015721148
2009-06-12,2102626.86097016
2009-06-19,2096889.091778832
2009-06-26,2099297.9256766792
2009-07-03,2089664.3700287403
2009-07-10,2159177.897238572
2009-07-17,2170597.834217075
2009-07-24,2173729.6490750043
2009-07-31,2128414.47162174
2009-08-07,2139787.6099590412
2009-08-14,2167016.5681402404
2009-08-21,2199900.4169486584
2009-08-28,2167467.36502904
2009-09-04,2232495.493474484
2009-09-11,2254986.3557585967
2009-09-18,2255631.7517414177
2009-09-25,2260113.543608101
2009-10-02,2304197.9753738563
2009-10-09,2332665.187846367
2009-10-16,2339056.2174327075
2009-10-23,2324795.9034507023
2009-10-30,2347301.467627562
2009-11-06,2394163.3488519983
2009-11-13,2423089.2510677413
2009-11-20,2460965.6960890694
2009-11-27,2454712.115509908
2009-12-04,2466291.061939469
2009-12-11,2439584.6555298693
2009-12-18,2472526.5818536608
2009-12-25,2452670.1375355166
2010-01-01,2453490.0205904394
2010-01-08,2482399.926749153
2010-01-15,2430083.9907011446
2010-01-22,2423624.4727463285
2010-01-29,2407928.7323308713
2010-02-05,2426021.767453099
2010-02-12,2503326.864724102
2010-02-19,2476357.0648721983
2010-02-26,2505907.6375114094
2010-03-05,2516723.926675684
2010-03-12,2551448.964004738
2010-03-19,2554019.419934613
2010-03-26,2569774.060597885
2010-04-02,2536892.0911380975
2010-04-09,2549935.1465168796
2010-04-16,2555086.315892605
2010-04-23,2550452.2145258854
2010-04-30,2484625.797461243
2010-05-07,2527623.171934617
2010-05-14,2434892.955040911
2010-05-21,2441636.934170517
2010-05-28,2484217.459151592
2010-06-04,2485851.4148914837
2010-06-11,2523240.0575190946
2010-06-18,2467084.8005144875
2010-06-25,2389654.186775965
2010-07-02,2484475.499413088
2010-07-09,2504499.641107191
2010-07-16,2488213.479394688
2010-07-23,2484122.542982973
2010-07-30,2520303.3444055305
2010-08-06,2507132.25723466
2010-08-13,2510553.974523998
2010-08-20,2479090.818898482
2010-08-27,2542335.5829548733
2010-09-03,2564244.3695954992
2010-09-10,2586058.95582554
2010-09-17,2595091.2677718014
2010-09-24,2605930.610625965
2010-10-01,2627955.0324528418
2010-10-08,2668852.6056459513
2010-10-15,2684177.4312757556
2010-10-22,2676789.663712049
2010-10-29,2698979.083149048
2010-11-05,2684232.0974612795
2010-11-12,2677049.931582221
2010-11-19,2689200.6984321414
2010-11-26,2709383.6613064175
2010-12-03,2717566.948063004
2010-12-10,2768761.47108635
2010-12-17,2773239.1394115
2010-12-24,2760114.1983818556
2010-12-31,2731267.732182235
2011-01-07,2744414.427290958
2011-01-14,2758929.2086687875
2011-01-21,2741060.6939831497
2011-01-28,2734112.8986974475
2011-02-04,2758039.477517412
2011-02-11,2787165.632144192
2011-02-18,2777259.146993159
2011-02-25,2830830.791663497
2011-03-04,2815731.4565918553
2011-03-11,2748666.035546145
2011-03-18,2820964.9650369235
2011-03-25,2851206.7227314934
2011-04-01,2874398.7283915468
2011-04-08,2901205.8396737594
2011-04-15,2916605.681930485
2011-04-22,2951062.9462219165
2011-04-29,2952152.777066611
2011-05-06,3026484.490771942
2011-05-13,3030750.21416669
2011-05-20,2958707.906165099
2011-05-27,2944429.4587212293
2011-06-03,2929499.053172407
2011-06-10,2928008.2050866517
2011-06-17,2935336.9399724635
2011-06-24,2988809.294297147
2011-07-01,3037498.5781156053
2011-07-08,2995752.3783706613
2011-07-15,3040850.8027486093
2011-07-22,2963049.0843738704
2011-07-29,2817204.342328244
2011-08-05,2844703.2511581383
2011-08-12,2845629.1558470526
2011-08-19,2871284.1485966467
2011-08-26,2964969.298450869
2011-09-02,2949886.361355663
2011-09-09,2960149.701853072
2011-09-16,2870148.3101118
2011-09-23,2930618.6081310716
2011-09-30,2891696.0988103063
2011-10-07,2958430.121506063
2011-10-14,2967038.8540969566
2011-10-21,3025471.6886178013
2011-10-28,2979932.5258001494
2011-11-04,2967785.22810981
2011-11-11,2949877.2321647494
2011-11-18,2874423.0426184502
