Date,SPY
2005-11-25,952417.3353613756
2005-12-02,947230.0916061789
2005-12-09,958055.4977562389
2005-12-16,957465.86075666
2005-12-23,946129.9173013535
2005-12-30,962680.562686004
2006-01-06,973412.3423401183
2006-01-13,969709.1835081
2006-01-20,962529.5007432181
2006-01-27,959053.228720209
2006-02-03,955349.650038433
2006-02-10,976133.4725891008
2006-02-17,975528.2171785391
2006-02-24,977644.9317164752
2006-03-03,962680.562686004
2006-03-10,990266.1192497587
2006-03-17,987223.3001165
2006-03-24,984871.3017744026
2006-03-31,992989.5166874324
2006-04-07,976600.6813993626
2006-04-14,994962.5586383163
2006-04-21,994204.0580662291
2006-04-28,996707.7061407728
2006-05-05,993596.5354669762
2006-05-12,957631.1136212528
2006-05-19,969164.7223424392
2006-05-26,976752.4151017606
2006-06-02,954141.0705261943
2006-06-09,956948.3539454374
2006-06-16,948527.259417272
2006-06-23,969942.6199733277
2006-06-30,971238.6961750512
2006-07-07,945021.5139412791
2006-07-14,951346.8024494371
2006-07-21,965675.0990971384
2006-07-28,978707.0676332616
2006-08-04,970704.8991932336
2006-08-11,990976.7569494792
2006-08-18,988080.9692013332
2006-08-25,995626.0891952337
2006-09-01,990062.6600572239
2006-09-08,1007743.6249592955
2006-09-15,1009419.8331315536
2006-09-22,1023351.4557282706
2006-09-29,1034756.9263034364
2006-10-06,1043176.929222232
2006-10-13,1047233.853460007
2006-10-20,1062313.6811738194
2006-10-27,1047003.8597627918
2006-11-03,1057721.0286453413
2006-11-10,1074561.1184528838
2006-11-17,1078694.3713765915
2006-11-24,1075709.2396000277
2006-12-01,1080531.885825721
2006-12-08,1095534.7130939888
2006-12-15,1090092.536565975
2006-12-22,1094634.3872737829
2006-12-29,1090477.3708537947
2007-01-05,1094249.6369559148
2007-01-12,1097174.8141870927
2007-01-19,1095019.1375916512
2007-01-26,1113107.8605783076
2007-02-02,1116263.7872362654
2007-02-09,1122267.6387700012
2007-02-16,1122806.3060090072
2007-02-23,1081548.9298785408
2007-03-02,1083319.4363063567
2007-03-09,1073543.570580355
2007-03-16,1106472.2191293293
2007-03-23,1097121.1573880708
2007-03-30,1114663.1520203757
2007-04-06,1117909.178436315
2007-04-13,1137769.8353399632
2007-04-20,1156470.9511830609
2007-04-27,1161880.5473698848
2007-05-04,1155930.1846952671
2007-05-11,1169221.872291444
2007-05-18,1167367.0600323016
2007-05-25,1184831.9702491104
2007-06-01,1152220.8120868364
2007-06-08,1181277.1863214292
2007-06-15,1179538.9243549975
2007-06-22,1167121.1120442972
2007-06-29,1181091.2768487625
2007-07-06,1198243.4829661075
2007-07-13,1203520.5745694318
2007-07-20,1148805.1663688251
2007-07-27,1145545.0330010308
2007-08-03,1128392.5749738307
2007-08-10,1102858.9081454382
2007-08-17,1137162.8165604193
2007-08-24,1134291.2121583116
2007-08-31,1149658.6369560827
2007-09-07,1155712.1987011195
2007-09-14,1181867.2431707657
2007-09-21,1193790.3045271058
2007-09-28,1201042.3693901983
2007-10-05,1212349.595122085
2007-10-12,1198469.278165747
2007-10-19,1184042.5687348635
2007-10-26,1177726.181041567
2007-11-02,1147548.4720743652
2007-11-09,1134915.276838014
2007-11-16,1104815.1561060178
2007-11-23,1147704.9080940485
2007-11-30,1177024.7800365135
2007-12-07,1162364.1303206931
2007-12-14,1144741.2726250736
